Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,1841.47,1849.44,1827.74,1831.37,2041927500,1831.37
2013-12-23,1822.92,1844.89,1822.92,1841.40,2048590000,1841.40
2013-12-16,1777.48,1823.75,1767.99,1818.32,3880520000,1818.32
2013-12-09,1806.21,1811.52,1772.28,1775.32,3217320000,1775.32
2013-12-02,1806.55,1810.02,1779.09,1805.09,3333712000,1805.09
2013-11-25,1806.33,1813.55,1800.58,1805.81,2659387500,1805.81
2013-11-18,1798.82,1804.84,1777.23,1804.76,3162776000,1804.76
2013-11-11,1769.96,1798.22,1760.64,1798.18,3095290000,1798.18
2013-11-04,1763.40,1774.54,1746.20,1770.61,3602804000,1770.61
2013-10-28,1759.42,1775.22,1752.70,1761.64,3535324000,1761.64
2013-10-21,1745.20,1759.82,1740.50,1759.77,3492870000,1759.77
2013-10-14,1699.86,1745.31,1692.13,1744.50,3302596000,1744.50
2013-10-07,1687.15,1703.44,1646.47,1703.20,3226506000,1703.20
2013-09-30,1687.26,1696.55,1670.36,1690.50,3171168000,1690.50
2013-09-23,1711.44,1711.44,1687.11,1691.75,3062048000,1691.75
2013-09-16,1691.70,1729.86,1691.70,1709.91,3731592000,1709.91
2013-09-09,1656.85,1689.97,1656.85,1687.99,3154566000,1687.99
2013-09-03,1635.95,1664.83,1633.41,1655.17,3281187500,1655.17
2013-08-26,1664.29,1669.51,1627.47,1632.97,2739144000,1632.97
2013-08-19,1655.25,1664.85,1639.43,1663.50,2790186000,1663.50
2013-08-12,1688.37,1696.81,1652.61,1655.83,3066858000,1655.83
2013-08-05,1708.01,1709.24,1684.91,1691.42,2982014000,1691.42
2013-07-29,1690.32,1709.67,1681.86,1709.67,3384048000,1709.67
2013-07-22,1694.41,1698.78,1676.03,1691.65,3059340000,1691.65
2013-07-15,1679.59,1693.12,1671.84,1692.09,3122660000,1692.09
2013-07-08,1634.20,1680.19,1634.20,1680.19,3233274000,1680.19
2013-07-01,1609.78,1632.07,1604.57,1631.89,2755502500,1631.89
2013-06-24,1588.77,1620.07,1560.33,1606.28,4078980000,1606.28
2013-06-17,1630.64,1654.19,1577.70,1592.43,4091850000,1592.43
2013-06-10,1644.67,1648.69,1608.07,1626.73,3187002000,1626.73
