Bank,January 2009,January 2007
RBS,4.6,120.0
Citigroup,19.0,255.0
Barclays,7.4,91.0
Deutsche Bank,10.3,76.0
Credit Agricole,17.0,67.0
Unicredit,26.0,93.0
BNP Paribas,32.5,108.0
UBS,35.0,116.0
Morgan Stanley,16.0,49.0
Societe Generale,26.0,80.0
Goldman Sachs,35.0,100.0
Credit Suisse,27.0,75.0
HBSC,97.0,215.0
JP Morgan,85.0,165.0
Santader,64.0,116.0
