name,latitude,longitude
New York,40.6397,73.7789
Dallas,32.8969,97.0381
Atlanta,33.6367,84.4281
Bay Area,37.6189,122.3750
Miami,25.7932,80.2906
Chicago,41.9808,87.9067
DC,38.8522,77.0378
LA,33.9425,118.4072
Denver,39.8617,104.6731
Salt Lake City,40.7883,111.9778
Seattle,47.4500,122.3117
