16140990 5184160 5081134 14419031 2995207 2724323 7680936 4181952 1190146 2109846 1687046
5211349 623327 682444 4519748 1640215 749389 1342472 367305 500658 349597 432191
5035844 681313 100 4791704 1129405 744876 1569040 1186215 490997 389057 597789
14372620 4486843 4798131 12754265 3092754 2932176 5765661 3108549 1057581 967129 2322747
3032295 1651415 1130418 3123934 277738 1200820 1337157 495079 763798 79895 495321
2707808 777094 747932 2950986 1237324 4917 794357 632782 3202 123784 339971
7713546 1334731 1544733 5748778 1312677 771593 2028359 1672867 207323 592246 589384
4122039 358384 1198638 3097172 494893 642694 1654502 0 236442 681390 334728
1197884 495052 482538 1044979 769268 3238 199808 231246 0 125092 314660
2112288 339924 390161 977191 79159 126270 574331 673065 122143 0 206021
1703700 427664 586760 2323240 493145 346812 585563 338649 322305 215084 0
